Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
714,Tau <= 0.51,0.4944,0.7262357414448669,1.0,1.0,1.0
715,Tau > 0.75,0.259,0.8216867469879519,-1.0,-1.0,-1.0
716,SafetyMargin > 0.05,0.4931,0.7225378787878788,1.0,1.0,1.0
717,Tau <= 0.51,0.499,0.7264150943396226,1.0,1.0,-1.0
718,SafetyMargin <= 0.05,0.4966,0.7343880099916736,-1.0,-1.0,-1.0
719,Tau <= 0.25,0.2456,0.8703241895261845,1.0,1.0,1.0
720,Tau <= 0.25,0.2505,0.8653366583541147,1.0,1.0,1.0
721,Tau <= 0.25,0.254,0.8778054862842892,1.0,1.0,1.0
722,SafetyMargin > 0.05,0.4897,0.7110741049125728,1.0,1.0,1.0
723,Tau <= 0.25,0.245,0.8878923766816144,1.0,1.0,1.0
