Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
363,Tau <= 0.51,0.4987,0.762796504369538,1.0,1.0,1.0
364,Tau <= 0.25,0.2464,0.9017094017094017,1.0,1.0,-1.0
365,SafetyMargin > 0.05,0.4983,0.7535387177352206,1.0,1.0,1.0
366,Tau > 0.51,0.4959,0.7290886392009988,-1.0,-1.0,-1.0
367,Tau <= 0.25,0.2447,0.8741450068399452,1.0,1.0,1.0
368,SafetyMargin > 0.08,0.2501,0.8557692307692307,1.0,1.0,1.0
369,SafetyMargin > 0.08,0.2455,0.8602329450915142,1.0,1.0,1.0
370,SafetyMargin > 0.08,0.2532,0.8483033932135728,1.0,1.0,1.0
371,Tau > 0.51,0.5024,0.7339642481598317,-1.0,-1.0,1.0
372,SafetyMargin > 0.08,0.2533,0.8549618320610687,1.0,1.0,1.0
373,Eta <= 0.25,0.255,0.712742980561555,-1.0,-1.0,-1.0
374,SafetyMargin > 0.05,0.491,0.7585345545378851,1.0,1.0,1.0
375,SafetyMargin > 0.08,0.2491,0.8473609129814551,1.0,1.0,-1.0
376,Eta <= 0.25,0.255,0.6625971143174251,-1.0,-1.0,-1.0
377,SafetyMargin <= 0.05,0.4929,0.6827643630308077,-1.0,-1.0,1.0
378,Tau <= 0.25,0.2495,0.8785357737104825,1.0,1.0,1.0
379,SafetyMargin <= 0.02,0.2478,0.784019975031211,-1.0,-1.0,-1.0
380,Tau <= 0.25,0.2497,0.9079754601226994,1.0,1.0,-1.0
381,SafetyMargin > 0.08,0.2464,0.8571428571428571,1.0,1.0,1.0
382,Tau <= 0.25,0.2502,0.9169435215946844,1.0,1.0,1.0
383,Tau <= 0.51,0.4844,0.7718676122931442,1.0,1.0,1.0
384,SafetyMargin > 0.05,0.4987,0.7422577422577422,1.0,1.0,1.0
385,Tau <= 0.25,0.2528,0.8813291139240507,1.0,1.0,1.0
386,Tau <= 0.25,0.2527,0.8851913477537438,1.0,1.0,1.0
387,SafetyMargin <= 0.05,0.5035,0.7296786389413988,-1.0,-1.0,1.0
388,Tau <= 0.51,0.4959,0.7640449438202247,1.0,1.0,-1.0
389,Tau <= 0.25,0.2465,0.9335548172757475,1.0,1.0,1.0
390,Tau <= 0.51,0.503,0.7663157894736842,1.0,1.0,1.0
391,Tau > 0.75,0.2452,0.8317307692307693,-1.0,-1.0,-1.0
392,Tau <= 0.51,0.4914,0.7682317682317682,1.0,1.0,1.0
393,Tau <= 0.25,0.2482,0.8829174664107485,1.0,1.0,1.0
394,SafetyMargin <= 0.02,0.2526,0.8146503884572697,-1.0,-1.0,-1.0
395,Tau > 0.51,0.5011,0.7266112266112266,-1.0,-1.0,-1.0
396,SafetyMargin <= 0.02,0.2491,0.8056640625,-1.0,-1.0,-1.0
397,Tau <= 0.25,0.2478,0.9171779141104295,1.0,1.0,-1.0
398,Tau <= 0.25,0.2477,0.9052369077306733,1.0,1.0,1.0
399,Eta <= 0.25,0.2502,0.697751873438801,-1.0,-1.0,-1.0
400,SafetyMargin > 0.05,0.5026,0.7451820128479657,1.0,1.0,1.0
401,Tau <= 0.25,0.2439,0.8850574712643678,1.0,1.0,1.0
402,Tau <= 0.25,0.2549,0.8760064412238325,1.0,1.0,1.0
403,Tau > 0.51,0.5018,0.7195817490494296,-1.0,-1.0,-1.0
404,Tau <= 0.51,0.4947,0.7485428809325562,1.0,1.0,1.0
405,SafetyMargin <= 0.05,0.5082,0.6942038640906063,-1.0,-1.0,1.0
406,SafetyMargin > 0.08,0.2541,0.8636363636363636,1.0,1.0,1.0
407,Tau <= 0.51,0.4876,0.7472527472527473,1.0,1.0,1.0
408,SafetyMargin <= 0.05,0.4973,0.7213270142180095,-1.0,-1.0,-1.0
409,Tau <= 0.25,0.2527,0.8778054862842892,1.0,1.0,1.0
